#,T,I,T,L,E
K,E,Y
V,A,L,U,E
S,W,M,H
b_rabadha,b_rabadha_adj,,
c_mecca,PROV719,,Makkah
c_mecca,c_mecca,,
c_mecca,c_mecca_adj,,Meccan
b_taif,b_taif,,Ta'if
b_taif,b_taif_adj,,
b_mecca,b_mecca,,Makkah
b_mecca,b_mecca_adj,,
b_jeddah,b_jeddah,,Jiddah
b_jeddah,b_jeddah_adj,,
b_turubah,b_turubah,,Turubah
b_turubah,b_turubah_adj,,
b_khulays,b_khulays,,Khulays
b_khulays,b_khulays_adj,,
c_asir,PROV861,,Asir
c_asir,c_asir,,
c_asir,c_asir_adj,,Asirian
b_qunfudhah,b_qunfudhah,,Qunfudhah
b_qunfudhah,b_qunfudhah_adj,,
b_bariq,b_bariq,,Bariq
b_bariq,b_bariq_adj,,
b_hali,b_hali,,Hali
b_hali,b_hali_adj,,
b_jurash,b_jurash,,Jurash
b_jurash,b_jurash_adj,,
d_nefoud,d_nefoud,,Najd
d_nefoud,d_nefoud_adj,,Najdi
d_nefoud,greek,,Arabia Deserta
d_nefoud,roman,,Arabia Deserta
c_hail,PROV864,,Hail
c_hail,c_hail,,
c_hail,c_hail_adj,,Hailian
b_hail,b_hail,,Ha'il
b_hail,b_hail_adj,,
b_fadak,b_fadak,,Fadak
b_fadak,b_fadak_adj,,
b_unayzah,b_unayzah,,Unayzah
b_unayzah,b_unayzah_adj,,
b_samira,b_samira,,Samira
b_samira,b_samira_adj,,
b_naqra,b_naqra,,An-Naqra
b_naqra,b_naqra_adj,,
c_hajr,PROV863,,Al-Yamamah
c_hajr,c_hajr,,
c_hajr,c_hajr_adj,,Hajrian
b_al_hajr,b_al_hajr,,Al-Hajr
b_al_hajr,b_al_hajr_adj,,
b_diriyyah,b_diriyyah,,Diriyyah
b_diriyyah,b_diriyyah_adj,,
b_yamamah,b_yamamah,,Al-Khadharim
b_yamamah,b_yamamah_adj,,
b_manfuha,b_manfuha,,Mafuha
b_manfuha,b_manfuha_adj,,
b_al_majmaah,b_al_majmaah,,Al-Majma'ah
b_al_majmaah,b_al_majmaah_adj,,
c_halaban,PROV862,,Ranyah
c_halaban,c_halaban,,
c_halaban,c_halaban_adj,,Halabanian
b_ranyah,b_ranyah,,Ranyah
b_ranyah,b_ranyah_adj,,
b_dawasir,b_dawasir,,Dawasir
b_dawasir,b_dawasir_adj,,
c_al_jawf,PROV717,,Fayd
c_al_jawf,c_al_jawf,,
c_al_jawf,c_al_jawf_adj,,Al Jawfian
b_fayd,b_fayd,,Fayd
b_fayd,b_fayd_adj,,
b_zubala,b_zubala,,Zubala
b_zubala,b_zubala_adj,,
b_aghfur,b_aghfur,,Al-Aghfur
b_aghfur,b_aghfur_adj,,
c_rummah,PROV654,,Hafar
c_rummah,c_rummah,,
c_rummah,c_rummah_adj,,Rummahian
b_hafaralbatin,b_hafaralbatin,,Hafar al Batin
b_hafaralbatin,b_hafaralbatin_adj,,
b_nibaj,b_nibaj,,Nibaj
b_nibaj,b_nibaj_adj,,
k_oman,k_oman,,Uman
k_oman,k_oman_adj,,Umani
k_oman,assyrian,,Beth Mazunaye
d_oman,d_oman,,Uman
d_oman,d_oman_adj,,Umani
d_oman,assyrian,,Beth Mazunaye
c_dhu_zabi,PROV870,,Julfar
c_dhu_zabi,c_dhu_zabi,,
c_dhu_zabi,c_dhu_zabi_adj,,Dhu Zabian
b_julfar,b_julfar,,Julfar
b_julfar,b_julfar_adj,,
b_tawam,b_tawam,,Tawam
b_tawam,b_tawam_adj,,
c_hajar,PROV869,,Nizwa
c_hajar,c_hajar,,
c_hajar,c_hajar_adj,,Hajarian
b_qalatnizwa,b_qalatnizwa,,Qal'at al-Nizwa
b_qalatnizwa,b_qalatnizwa_adj,,
b_nizwa,b_nizwa,,Nizwa
b_nizwa,b_nizwa_adj,,
b_bahla,b_bahla,,Bahla
b_bahla,b_bahla_adj,,
b_nakhal,b_nakhal,,Nakhal
b_nakhal,b_nakhal_adj,,
b_rustaq_nizwa,b_rustaq_nizwa,,Rustaq
b_rustaq_nizwa,b_rustaq_nizwa_adj,,
c_muscat,PROV868,,Masqat
c_muscat,c_muscat,,
c_muscat,c_muscat_adj,,Muscatian
b_qalatmirani,b_qalatmirani,,Mirani
b_qalatmirani,b_qalatmirani_adj,,
b_muscat,b_muscat,,Muscat
b_muscat,b_muscat_adj,,
b_sur,b_sur,,Sur
b_sur,b_sur_adj,,
b_qalhat,b_qalhat,,Qalhat
b_qalhat,b_qalhat_adj,,
b_quryat,b_quryat,,Quryat
b_quryat,b_quryat_adj,,
c_suhar,PROV1592,,Suhar
c_suhar,c_suhar,,
c_suhar,c_suhar_adj,,
b_qalatsuhar,b_qalatsuhar,,Qal'at al-Suhar
b_qalatsuhar,b_qalatsuhar_adj,,
b_sohar,b_sohar,,Suhar
b_sohar,b_sohar_adj,,
b_dibba,b_dibba,,Dibba
b_dibba,b_dibba_adj,,
b_khorfakkan,b_khorfakkan,,Fakkan
b_khorfakkan,b_khorfakkan_adj,,
c_duqm,PROV867,,Duqm
c_duqm,c_duqm,,
c_duqm,c_duqm_adj,,Duqmian
b_duqm,b_duqm,,Duqm
b_duqm,b_duqm_adj,,
k_yemen,k_yemen,,Yaman
k_yemen,k_yemen_adj,,Yamani
k_yemen,greek,,Arabia Felix
k_yemen,roman,,Arabia Felix
d_zabid,d_zabid,,Zabid
d_zabid,d_zabid_adj,,Zabidi
c_bayda,PROV857,,al-Ma'afir
c_bayda,c_bayda,,
c_bayda,c_bayda_adj,,Baydanian
b_qalatzabid,b_qalatzabid,,Qal'at al-Zabid
b_qalatzabid,b_qalatzabid_adj,,
b_zabid,b_zabid,,Zabid
b_zabid,b_zabid_adj,,
b_mahjam,b_mahjam,,al-Mahjam
b_mahjam,b_mahjam_adj,,
b_mocha,b_mocha,,Mukha
b_mocha,b_mocha_adj,,
b_hodeida,b_hodeida,,Hudaydah
b_hodeida,b_hodeida_adj,,
c_tihama,PROV1496,,Tihama
c_tihama,c_tihama,,
c_tihama,c_tihama_adj,,
b_jizan,b_jizan,,Jizan
b_jizan,b_jizan_adj,,
b_kamaran,b_kamaran,,Kamaran
b_kamaran,b_kamaran_adj,,
b_harad,b_harad,,Harad
b_harad,b_harad_adj,,
c_aden,PROV858,,Aden
c_aden,c_aden,,
c_aden,c_aden_adj,,Adenian
b_qalatsira,b_qalatsira,,Sira
b_qalatsira,b_qalatsira_adj,,
b_aden,b_aden,,Aden
b_aden,b_aden_adj,,
b_ahwar,b_ahwar,,Ahwar
b_ahwar,b_ahwar_adj,,
b_lahej,b_lahej,,Lahej
b_lahej,b_lahej_adj,,
b_khadra,b_khadra,,al-Khadra
b_khadra,b_khadra_adj,,
b_zinjibar,b_zinjibar,,Zinjibar
b_zinjibar,b_zinjibar_adj,,
d_sanaa,d_sanaa,,Sanaa
d_sanaa,d_sanaa_adj,,Sanaan
c_rafha,PROV865,,Sadah
c_rafha,c_rafha,,
c_rafha,c_rafha_adj,,Rafhan
b_sadah,b_sadah,,Sadah
b_sadah,b_sadah_adj,,
b_najran,b_najran,,Najran
b_najran,b_najran_adj,,
b_huth,b_huth,,Huth
b_huth,b_huth_adj,,
c_sanaa,PROV860,,Sanaa
c_sanaa,c_sanaa,,
c_sanaa,c_sanaa_adj,,Sanaan
b_qalaatsanaa,b_qalaatsanaa,,al-Qasr
b_qalaatsanaa,b_qalaatsanaa_adj,,
b_sanaa,b_sanaa,,San'a
b_sanaa,b_sanaa_adj,,
b_dhamar,b_dhamar,,Dhamar
b_dhamar,b_dhamar_adj,,
b_marib,b_marib,,Marib
b_marib,b_marib_adj,,
b_radaa,b_radaa,,Rada'a
b_radaa,b_radaa_adj,,
b_zafar,b_zafar,,Zafar
b_zafar,b_zafar_adj,,
c_shibam,PROV1254,,Kawkaban
c_shibam,c_shibam,,
c_shibam,c_shibam_adj,,
b_shibamsanaa,b_shibamsanaa,,Kawkaban
b_shibamsanaa,b_shibamsanaa_adj,,
b_thula,b_thula,,Thula
b_thula,b_thula_adj,,
b_kahlan,b_kahlan,,Kahlan
b_kahlan,b_kahlan_adj,,
c_taizz,PROV859,,Taizz
c_taizz,c_taizz,,
c_taizz,c_taizz_adj,,Taizzian
b_jibla,b_jibla,,Jiblah
b_jibla,b_jibla_adj,,
b_taizz,b_taizz,,Taizz
b_taizz,b_taizz_adj,,
b_ibb,b_ibb,,Ibb
b_ibb,b_ibb_adj,,
b_janad,b_janad,,Janad
b_janad,b_janad_adj,,
b_yarim,b_yarim,,Yarim
b_yarim,b_yarim_adj,,
d_hadramaut,d_hadramaut,,Hadramawt
d_hadramaut,d_hadramaut_adj,,Hadramawti
c_dhofar,PROV866,,Zufar
c_dhofar,c_dhofar,,
c_dhofar,c_dhofar_adj,,Dhofarian
b_salalah,b_salalah,,Zufar
b_salalah,b_salalah_adj,,
b_mirbat,b_mirbat,,Mirbat
b_mirbat,b_mirbat_adj,,
b_raysut,b_raysut,,Raysut
b_raysut,b_raysut_adj,,
c_kathiri,PROV856,,Hadramawt
c_kathiri,c_kathiri,,
c_kathiri,c_kathiri_adj,,Kathirian
b_shibam,b_shibam,,Shibam
b_shibam,b_shibam_adj,,
b_tarimhadramaut,b_tarimhadramaut,,Tarim
b_tarimhadramaut,b_tarimhadramaut_adj,,
b_seiyun,b_seiyun,,Seiyun
b_seiyun,b_seiyun_adj,,
b_maifaa,b_maifaa,,Maifa'a
b_maifaa,b_maifaa_adj,,
c_mahra,PROV855,,Mahra
c_mahra,c_mahra,,
c_mahra,c_mahra_adj,,Mahran
b_shihr,b_shihr,,Shihr
b_shihr,b_shihr_adj,,
b_qishn,b_qishn,,Qishn
b_qishn,b_qishn_adj,,
c_socotra,PROV1552,,Suqutra
c_socotra,c_socotra,,Socotra
c_socotra,c_socotra_adj,,Socotran
b_qualnsiyah,b_qualnsiyah,,Qualnsiyah
b_qualnsiyah,b_qualnsiyah_adj,,
b_tamrida,b_tamrida,,Tamrida
b_tamrida,b_tamrida_adj,,
b_qadub,b_qadub,,Qadub
b_qadub,b_qadub_adj,,
d_sinai,d_sinai,,Sinai
d_sinai,d_sinai_adj,,Sinaite
d_sinai,coptic,,Sina
c_sinai,PROV785,,Nekhel
c_sinai,c_sinai,,
c_sinai,c_sinai_adj,,Sinaian
b_qalaatalgindi,b_qalaatalgindi,,Qalaat Al-Jundi
b_qalaatalgindi,b_qalaatalgindi_adj,,
b_rassidr,b_rassidr,,Rass Sidr
b_rassidr,b_rassidr_adj,,
b_nekhel,b_nekhel,,Nekhel
b_nekhel,b_nekhel_adj,,
b_nekhelcastle,b_nekhelcastle,,An-Nekhel
b_nekhelcastle,b_nekhelcastle_adj,,
c_eilat,PROV786,,Jabal Katrina
c_eilat,c_eilat,,
c_eilat,c_eilat_adj,,Eilatian
b_wadielsybiaya,b_wadielsybiaya,,Wadi El Sybaiya
b_wadielsybiaya,b_wadielsybiaya_adj,,
b_eltormonestary,b_eltormonestary,,Al-Tur
b_eltormonestary,b_eltormonestary_adj,,
b_eltormonestary,greek,,Rhaitou
b_eltormonestary,roman,,Rhaitou
b_monestaryofsaincathrine,b_monestaryofsaincathrine,,Monì tìs Agìas Ekaterìnis
b_monestaryofsaincathrine,b_monestaryofsaincathrine_adj,,
c_el-arish,PROV787,,El-Arish
c_el-arish,c_el-arish,,
c_el-arish,c_el-arish_adj,,El-Arishian
c_el-arish,coptic,,Peremun
c_el-arish,greek,,Pelousion
c_el-arish,roman,,Pelusium
b_arish,b_arish,,Arish
b_arish,b_arish_adj,,
b_arish,coptic,,Hrinokorura
b_arish,greek,,Rinokoloura
b_arish,roman,,Rhinocolura
b_farama,b_farama,,Farama
b_farama,b_farama_adj,,
b_farama,coptic,,Peremun
b_farama,greek,,Pelousion
b_farama,roman,,Pelusium
b_tukkot,b_tukkot,,Tukkot
b_tukkot,b_tukkot_adj,,
b_rafah,b_rafah,,Rafah
b_rafah,b_rafah_adj,,
b_rafah,greek,,Raphia
b_rafah,roman,,Raphia
k_mesopotamia,k_mesopotamia,,al-Iraq
k_mesopotamia,k_mesopotamia_adj,,Iraqi
k_mesopotamia,assyrian,,Bet Aramaye
d_tigris,d_tigris,,al-Batihah
d_tigris,d_tigris_adj,,Batihan
c_tigris,PROV656,,Wasit
c_tigris,c_tigris,,
c_tigris,c_tigris_adj,,Tigrisian
c_tigris,assyrian,,Kashkar
b_wasit,b_wasit,,Wasit
b_wasit,b_wasit_adj,,
b_wasit,assyrian,,Kashkar
b_fammassilh,b_fammassilh,,Famm as-Silh
b_fammassilh,b_fammassilh_adj,,
b_almadar,b_almadar,,Al-Madar
b_almadar,b_almadar_adj,,
b_arrushafa,b_arrushafa,,Ar-Rushafa
b_arrushafa,b_arrushafa_adj,,
b_alfarut,b_alfarut,,Al-Farut
b_alfarut,b_alfarut_adj,,
b_nahrsabus,b_nahrsabus,,Nahr Sabus
b_nahrsabus,b_nahrsabus_adj,,
c_al_nasiryah,PROV691,,Al-Batihah
c_al_nasiryah,c_al_nasiryah,,
c_al_nasiryah,c_al_nasiryah_adj,,Al Nasiryahian
b_assaliq,b_assaliq,,as-Saliq
b_assaliq,b_assaliq_adj,,
b_niffar,b_niffar,,Niffar
b_niffar,b_niffar_adj,,
c_basra,PROV649,,Basrah
c_basra,c_basra,,
c_basra,c_basra_adj,,Basran
c_basra,assyrian,,Perath d’Maishan
b_qalatbasra,b_qalatbasra,,Qal'at al-Basrah
b_qalatbasra,b_qalatbasra_adj,,
b_basra,b_basra,,Basrah
b_basra,b_basra_adj,,
b_basra,assyrian,,Perath d’Maishan
b_abbadan,b_abbadan,,Abbadan
b_abbadan,b_abbadan_adj,,
b_alubulla,b_alubulla,,Al-Ubulla
b_alubulla,b_alubulla_adj,,
b_bayan,b_bayan,,Bayan
b_bayan,b_bayan_adj,,
b_kazima,b_kazima,,Kazima
b_kazima,b_kazima_adj,,
d_kufa,d_kufa,,al-Kufa
d_kufa,d_kufa_adj,,Kufan
c_al_nadjaf,PROV692,,Qadisiyyah
c_al_nadjaf,c_al_nadjaf,,
c_al_nadjaf,c_al_nadjaf_adj,,Al Nadjafian
b_qadisiyyah,b_qadisiyyah,,Qadisiyyah
b_qadisiyyah,b_qadisiyyah_adj,,
b_waqisa,b_waqisa,,Waqisa
b_waqisa,b_waqisa_adj,,
b_masjidsad,b_masjidsad,,Masjid Sa'd
b_masjidsad,b_masjidsad_adj,,
c_kufa,PROV655,,Al-Kufah
c_kufa,c_kufa,,
c_kufa,c_kufa_adj,,Kufan
c_kufa,assyrian,,Hirta
b_qalatkufa,b_qalatkufa,,Qal'at al-Kufah
b_qalatkufa,b_qalatkufa_adj,,
b_kufa,b_kufa,,Kufa
b_kufa,b_kufa_adj,,
b_nadjaf,b_nadjaf,,Nadjaf
b_nadjaf,b_nadjaf_adj,,
b_alhirah,b_alhirah,,Al-Hirah
b_alhirah,b_alhirah_adj,,
b_alhirah,assyrian,,Hirta
c_karbala,PROV694,,Karbala
c_karbala,c_karbala,,
c_karbala,c_karbala_adj,,Karbalan
b_ukhaidir,b_ukhaidir,,Al-Ukhaidir
b_ukhaidir,b_ukhaidir_adj,,
b_karbala,b_karbala,,Karbala
b_karbala,b_karbala_adj,,
b_ainaltamur,b_ainaltamur,,Ain-al-Tamr
b_ainaltamur,b_ainaltamur_adj,,
b_safata,b_safata,,Safata
b_safata,b_safata_adj,,
d_kermanshah,d_kermanshah,,Lorestan
d_kermanshah,d_kermanshah_adj,,Lorestaní
c_luristan,PROV657,,Luristan
c_luristan,c_luristan,,
c_luristan,c_luristan_adj,,Luristian
b_dezbar,b_dezbar,,Dezbar
b_dezbar,b_dezbar_adj,,
b_khorramabad,b_khorramabad,,Khorramabad
b_khorramabad,b_khorramabad_adj,,
b_borujerd,b_borujerd,,Borujerd
b_borujerd,b_borujerd_adj,,
b_aligoodarz,b_aligoodarz,,Aligoodarz
b_aligoodarz,b_aligoodarz_adj,,
b_koohdasht,b_koohdasht,,Koohdasht
b_koohdasht,b_koohdasht_adj,,
b_alashtar,b_alashtar,,Alashtar
b_alashtar,b_alashtar_adj,,
d_baghdad,d_baghdad,,Baghdad
d_baghdad,d_baghdad_adj,,Baghdadian
c_baghdad,PROV693,,Baghdad
c_baghdad,c_baghdad,,
c_baghdad,c_baghdad_adj,,Baghdadian
c_baghdad,assyrian,,Seliq
c_baghdad,greek,,Ktesiphon
c_baghdad,roman,,Ctesiphon
b_qalatbaghdad,b_qalatbaghdad,,Qal'at al-Baghdad
b_qalatbaghdad,b_qalatbaghdad_adj,,
b_bagdad,b_bagdad,,Bagdad
b_bagdad,b_bagdad_adj,,
b_madain,b_madain,,Mada'in
b_madain,b_madain_adj,,
b_madain,assyrian,,Seliq
b_madain,greek,,Ktesiphon
b_madain,roman,,Ctesiphon
b_muhawwal,b_muhawwal,,Al-Muhawwal
b_muhawwal,b_muhawwal_adj,,
b_baradan,b_baradan,,Baradan
b_baradan,b_baradan_adj,,
b_nahrawan,b_nahrawan,,Jisr Nahrawan
b_nahrawan,b_nahrawan_adj,,
b_awana,b_awana,,Awana
b_awana,b_awana_adj,,
c_al_amarah,PROV690,,Nahrawan
c_al_amarah,c_al_amarah,,
c_al_amarah,c_al_amarah_adj,,Al Amarahian
c_al_amarah,assyrian,,Dasqarta d’Malka
b_bandanijin,b_bandanijin,,Bandanijin
b_bandanijin,b_bandanijin_adj,,
b_baqubah,b_baqubah,,Baqubah
b_baqubah,b_baqubah_adj,,
b_daskara,b_daskara,,Daskara
b_daskara,b_daskara_adj,,
b_daskara,assyrian,,Dasqarta d’Malka
b_jalula,b_jalula,,Jalula
b_jalula,b_jalula_adj,,
b_barazarruz,b_barazarruz,,Baraz-ar-Ruz
b_barazarruz,b_barazarruz_adj,,
b_iskaf_nahrawan,b_iskaf_nahrawan,,Iskaf
b_iskaf_nahrawan,b_iskaf_nahrawan_adj,,
c_tadmor,PROV729,,Al-Hillah
c_tadmor,c_tadmor,,
c_tadmor,c_tadmor_adj,,Al-Sukhnahn
b_numaniya,b_numaniya,,Numaniya
b_numaniya,b_numaniya_adj,,
b_numaniya,assyrian,,Zabe
b_annil,b_annil,,an-Nil
b_annil,b_annil_adj,,
b_jarjaraya,b_jarjaraya,,Jarjaraya
b_jarjaraya,b_jarjaraya_adj,,
b_hillah,b_hillah,,Hillah
b_hillah,b_hillah_adj,,
b_birmallaha,b_birmallaha,,Bir Mallaha
b_birmallaha,b_birmallaha_adj,,
d_samarra,d_samarra,,Samarrah
d_samarra,d_samarra_adj,,Samarran
c_deir,PROV695,,Anbar
c_deir,c_deir,,
c_deir,c_deir_adj,,Deirian
c_deir,greek,,Anatha
c_deir,roman,,Anatha
b_anah,b_anah,,Anah
b_anah,b_anah_adj,,
b_anah,greek,,Anatha
b_anah,roman,,Anatha
b_haditha_anbar,b_haditha_anbar,,Al-Haditha
b_haditha_anbar,b_haditha_anbar_adj,,
b_hit,b_hit,,Hit
b_hit,b_hit_adj,,
b_anbar_iraq,b_anbar_iraq,,Al-Anbar
b_anbar_iraq,b_anbar_iraq_adj,,
b_anbar_iraq,assyrian,,Peroz Shabur
c_druz,PROV713,,Takrit
c_druz,c_druz,,
c_druz,c_druz_adj,,Druzian
c_druz,assyrian,,Tirhan
c_druz,greek,,Birtha
c_druz,roman,,Birtha
b_qalattagrit,b_qalattagrit,,Qal'at al-Takrit
b_qalattagrit,b_qalattagrit_adj,,
b_tagrit,b_tagrit,,Takrit
b_tagrit,b_tagrit_adj,,
b_tagrit,assyrian,,Tagrit
b_tagrit,greek,,Birtha
b_tagrit,roman,,Birtha
b_jabulta,b_jabulta,,Jabulta
b_jabulta,b_jabulta_adj,,
b_jabulta,assyrian,,Gbiltha
b_barimma,b_barimma,,Barimma
b_barimma,b_barimma_adj,,
c_euphrates,PROV696,,Samarrah
c_euphrates,c_euphrates,,
c_euphrates,c_euphrates_adj,,Samarrian
c_euphrates,greek,,Souma
c_euphrates,roman,,Sumere
b_alqadisiyyah,b_alqadisiyyah,,Al-Qadisiyyah
b_alqadisiyyah,b_alqadisiyyah_adj,,
b_samarra,b_samarra,,Samarra
b_samarra,b_samarra_adj,,
b_samarra,greek,,Souma
b_samarra,roman,,Sumere
b_ukbara,b_ukbara,,Ukbara
b_ukbara,b_ukbara_adj,,
b_balad,b_balad,,Balad
b_balad,b_balad_adj,,
b_harba,b_harba,,Harba
b_harba,b_harba_adj,,
b_aldur,b_aldur,,Al-Dur
b_aldur,b_aldur_adj,,
d_kurdistan,d_kurdistan,,Kurdistan
d_kurdistan,adhari,,Kordestan
d_kurdistan,d_kurdistan_adj,,Kurdistaní
d_kurdistan,daylamite,,Kordestan
d_kurdistan,khorasani,,Kordestan
d_kurdistan,oghuz,,Kürdistan
d_kurdistan,persian,,Kordestan
d_kurdistan,turkish,,Kürdistan
d_kurdistan,turkmen,,Kürdistan
c_kirkuk,PROV687,,Daquqa
c_kirkuk,c_kirkuk,,
c_kirkuk,c_kirkuk_adj,,Kirkukian
c_kirkuk,greek,,Korkyra
c_kirkuk,oghuz,,Dakuk
c_kirkuk,roman,,Corcura
c_kirkuk,turkish,,Dakuk
c_kirkuk,turkmen,,Dakuk
b_daquq,b_daquq,,Daquq
b_daquq,b_daquq_adj,,
b_daquq,oghuz,,Dakuk
b_daquq,turkish,,Dakuk
b_daquq,turkmen,,Dakuk
b_kirkuk,b_kirkuk,,Kirkuk
b_kirkuk,b_kirkuk_adj,,
b_kirkuk,assyrian,,Karka d-Beth Slokh
b_kirkuk,greek,,Korkyra
b_kirkuk,kurdish,,Kerkûk
b_kirkuk,oghuz,,Kerkük
b_kirkuk,roman,,Corcura
b_kirkuk,turkish,,Kerkük
b_kirkuk,turkmen,,Kerkük
b_hanijar,b_hanijar,,Hanijar
b_hanijar,b_hanijar_adj,,
b_lashom,b_lashom,,Lashom
b_lashom,b_lashom_adj,,
c_shahrazur,PROV715,,Shahrazur
c_shahrazur,c_shahrazur,,
c_shahrazur,c_shahrazur_adj,,Shahrazuri
c_shahrazur,kurdish,,Sehrezûr
c_shahrazur,c_shahrazur_adj_kurdish,,Sehrezûri
c_shahrazur,oghuz,,Šehr-i Zor
c_shahrazur,c_shahrazur_adj_oghuz,,Šehr-i Zori
c_shahrazur,turkish,,Šehr-i Zor
c_shahrazur,c_shahrazur_adj_turkish,,Šehr-i Zori
c_shahrazur,turkmen,,Šehr-i Zor
c_shahrazur,c_shahrazur_adj_turkmen,,Šehr-i Zori
b_shahrazur,b_shahrazur,,Shahrazur
b_shahrazur,b_shahrazur_adj,,
b_shahrazur,kurdish,,Sehrezûr
b_shahrazur,oghuz,,Šehr-i Zor
b_shahrazur,turkish,,Šehr-i Zor
b_shahrazur,turkmen,,Šehr-i Zor
b_tiranshah,b_tiranshah,,Tiranshah
b_tiranshah,b_tiranshah_adj,,
b_sine,b_sine,,Sine
b_sine,b_sine_adj,,
c_kermanshah,PROV688,,Kermanshah
c_kermanshah,c_kermanshah,,
c_kermanshah,c_kermanshah_adj,,Kermanshahian
b_kangivar,b_kangivar,,Kangivár
b_kangivar,b_kangivar_adj,,
b_kermanshah,b_kermanshah,,Kermánsháh
b_kermanshah,b_kermanshah_adj,,
b_hulwan,b_hulwan,,Hulwán
b_hulwan,b_hulwan_adj,,
b_mahalkufa,b_mahalkufa,,Máh-al-Kúfa
b_mahalkufa,b_mahalkufa_adj,,
