#TITLE,KEY,VALUE,SWMH
c_mora,PROV1519,Mora,Mora
c_mora,c_mora_adj,Moraisch,Mora
b_mora_mora,b_mora_mora,Mora,Mora
b_mora_mora,b_mora_mora_adj,Moraisch,
b_galafi,b_galafi,Galafi,Galafi
b_galafi,b_galafi_adj,Galafisch,
b_dikhil,b_dikhil,Dikhil,Dikhil
b_dikhil,b_dikhil_adj,Dikkhilisch,
c_zaila,PROV1520,Zeila,Zaila
c_zaila,c_zaila_adj,Zeilisch,
b_zeila,b_zeila,Zeila,Zeila
b_zeila,b_zeila_adj,Zeilisch,
b_djibouti,b_djibouti,Djibuti,Djibouti
b_djibouti,b_djibouti_adj,Djibutisch,
b_holhol,b_holhol,Holhol,Holhol
b_holhol,b_holhol_adj,Holholisch,
d_afar,d_afar,Afar,Afar
d_afar,d_afar_adj,Afarisch,Afari
c_bur,PROV1509,Saho,Saho
c_bur,c_bur_adj,Burisch,Bur
b_matara,b_matara,Matara,Matara
b_matara,b_matara_adj,Matarisch,
b_dahlak,b_dahlak,Dahlak,Dahlak
b_dahlak,b_dahlak_adj,Dahlakisch,
b_adel,b_adel,Adal,Adel
b_adel,b_adel_adj,Adalisch,
b_kohaito,b_kohaito,Kohaito,Kohaito
b_kohaito,b_kohaito_adj,Kohaitisch,
b_saho,b_saho,Saho,Saho
b_saho,b_saho_adj,Sahisch,
c_danakil,PROV1517,Danakil,Danakil
c_danakil,c_danakil_adj,Danakisch,Danakili
b_afera,b_afera,Afera,Afera
b_afera,b_afera_adj,Aferisch,
b_assale,b_assale,Assala,Assale
b_assale,b_assale_adj,Assalisch,
c_assab,PROV1518,Assab,Assab
c_assab,c_assab,Assab,Assab
c_assab,c_assab_adj,Assabisch,Assabi
b_assab,b_assab,Assab,Assab
b_assab,b_assab_adj,Assabisch,
b_edd,b_edd,Edd,Edd
b_edd,b_edd_adj,Eddisch,
b_halib,b_halib,Halib,Halib
b_halib,b_halib_adj,Halibisch,
k_abyssinia,k_abyssinia,Abessinien,Abyssinia
k_abyssinia,k_abyssinia_adj,Abessinisch,Abyssinian
k_abyssinia,coptic,Abessinien,Ethaush
d_axum,d_axum,Aksum,Axum
d_axum,d_axum_adj,Aksumitisch,Axumite
c_aksum,PROV875,Aksum,Aksum
c_aksum,c_aksum_adj,Aksumitisch,Axumite
b_adwa,b_adwa,Adwa,Adwa
b_adwa,b_adwa_adj,Adwaitisch,
b_aksum,b_aksum,Aksum,Aksum
b_aksum,b_aksum_adj,Aksumitisch,
b_mekele,b_mekele,Mekele,Mek'ele
b_mekele,b_mekele_adj,Mekelisch,
b_sembel,b_sembel,Sembel,Sembel
b_sembel,b_sembel_adj,Sembisch,
b_adigrat,b_adigrat,Adigrat,Adigrat
b_adigrat,b_adigrat_adj,Adigratisch,
b_qohaito,b_qohaito,Qohaito,Qohaito
b_qohaito,b_qohaito_adj,Qohaitisch,
b_yeha,b_yeha,Yeha,Yeha
b_yeha,b_yeha_adj,Yehisch,
c_akordat,PROV876,Serayé,Sera'é
c_akordat,c_akordat_adj,Akordatisch,Akordatian
b_akordat,b_akordat,Akordat,Akordat
b_akordat,b_akordat_adj,Akordatisch,
b_hamasen,b_hamasen,Hamasén,Hamasén
b_hamasen,b_hamasen_adj,Hamasinisch,
b_cheren,b_cheren,Cheren,Cheren
b_cheren,b_cheren_adj,Cherisch,
b_teseney,b_teseney,Tesseney,Teseney
b_teseney,b_teseney_adj,Tessenisch,
c_tigre,PROV1506,Tigré,Tigre
c_tigre,c_tigre_adj,Tigrisch,Tigrean
b_tigre,b_tigre,Tigré,Tigre
b_tigre,b_tigre_adj,Tigrisch,
b_weldibba,b_weldibba,Weldibba,Weldibba
b_weldibba,b_weldibba_adj,Weldibbisch,
b_wegera,b_wegera,Wegera,Wegera
b_wegera,b_wegera_adj,Wegerisch,
c_intarta,PROV1510,Intarta,Intarta
c_intarta,c_intarta_adj,Intartisch,Intartan
b_wiqro,b_wiqro,Wikro,Wiqro
b_wiqro,b_wiqro_adj,Wikrisch,
b_zarema,b_zarema,Zarema,Zarema
b_zarema,b_zarema_adj,Zaremisch,
b_agowo,b_agowo,Agowo,Agowo
b_agowo,b_agowo_adj,Agowisch,
b_qiha,b_qiha,Kiha,Qiha
b_qiha,b_qiha_adj,Kihisch,
c_lasta,PROV1511,Lasta,Lasta
c_lasta,c_lasta_adj,Lastisch,Lastan
b_kubar,b_kubar,Kubar,Kubar
b_kubar,b_kubar_adj,Kubarisch,
b_debredamo,b_debredamo,Debre Damo,Debre Damo
b_debredamo,b_debredamo_adj,Damisch,
b_bugena,b_bugena,Bugena,Bugena
b_bugena,b_bugena_adj,Bugenisch,
b_sekota,b_sekota,Sekota,Sekota
b_sekota,b_sekota_adj,Sekotisch,
d_damot,d_damot,Damot,Da'mot
d_damot,d_damot_adj,Damotisch,Da'mot
c_ankober,PROV882,Damot,Damot
c_ankober,c_ankober_adj,Ankoberisch,Ankoberian
b_ankober,b_ankober,Ankober,Ankober
b_ankober,b_ankober_adj,Ankoberisch,
b_doqaqit,b_doqaqit,Dokakit,Doqaqit
b_doqaqit,b_doqaqit_adj,Dokakisch,
b_qundi,b_qundi,Kundi,Qundi
b_qundi,b_qundi_adj,Kundisch,
b_saqqa,b_saqqa,Sakka,Saqqa
b_saqqa,b_saqqa_adj,Sakkisch,
c_matamma,PROV885,Agaw,Agaw
c_matamma,c_matamma_adj,Matammanisch,Matamman
b_quenzla,b_quenzla,Quenzla,Quenzla
b_quenzla,b_quenzla_adj,Quenzlisch,
b_ginbo,b_ginbo,Ginbo,Ginbo
b_ginbo,b_ginbo_adj,Ginbisch,
b_bonga,b_bonga,Bonga,Bonga
b_bonga,b_bonga_adj,Bongisch,
b_wacha,b_wacha,Wacha,Wacha
b_wacha,b_wacha_adj,Wachisch,
c_gojjam,PROV1515,Godjam,Gojjam
c_gojjam,c_gojjam,Godjam,Gojjam
c_gojjam,c_gojjam_adj,Godjamisch,Gojjami
b_guihon,b_guihon,Guihon,Guihon
b_guihon,b_guihon_adj,Guihonisch,
b_debremarqos,b_debremarqos,Debre Markos,Debre Marqos
b_debremarqos,b_debremarqos_adj,Markosisch,
b_mertulematiam,b_mertulematiam,Mertule Mariam,Mertule Matiam
b_mertulematiam,b_mertulematiam_adj,Mariamatisch,
b_gafat,b_gafat,Gafat,Gafat
b_gafat,b_gafat_adj,Gafatisch,
d_gondar,d_gondar,Gonder,Gondar
d_gondar,d_gondar_adj,Gonderisch,Gondari
d_gondar,falashim,Semien,Semien
c_gondar,PROV883,Dembiya,Dembiya
c_gondar,c_gondar_adj,Gonderisch,Gondarian
b_fasilghebbi,b_fasilghebbi,Fasil Ghebbi,Fasil Ghebbi
b_fasilghebbi,b_fasilghebbi_adj,Ghebbisch,
b_gondar,b_gondar,Gonder,Gondar
b_gondar,b_gondar_adj,Gonderisch,
b_gouzara,b_gouzara,Guzara,Gouzara
b_gouzara,b_gouzara_adj,Guzarisch,
b_ambassel,b_ambassel,Ambassel,Ambassel
b_ambassel,b_ambassel_adj,Ambassisch,
c_semien,PROV1512,Semien,Semien
c_semien,c_semien,Semisch,Semien
c_semien,c_semien_adj,Semisch,Semien
b_semien,b_semien,Semien,Semien
b_semien,b_semien_adj,Semisch,
b_debarq,b_debarq,Debark,Debarq
b_debarq,b_debarq_adj,Debarkisch,
b_deguma,b_deguma,Deguma,Deguma
b_deguma,b_deguma_adj,Degumisch,
c_begemder,PROV1513,Begemdir,Begemdir
c_begemder,c_begemder,Begemdir,Begemder
c_begemder,c_begemder_adj,Begemdirisch,Begemderan
b_begemdir,b_begemdir,Begemdir,Begemdir
b_begemdir,b_begemdir_adj,Begemdirisch,
b_sana,b_sana,Sana,Sana
b_sana,b_sana_adj,Sanisch,
b_debrelibanos,b_debrelibanos,Debre Libanos,Debre Libanos
b_debrelibanos,b_debrelibanos_adj,Libanosisch,
d_amhara,d_amhara,Amhara,Amhara
d_amhara,d_amhara_adj,Amharisch,Amharan
c_antalo,PROV884,Amhara,Amhara
c_antalo,c_antalo_adj,Anatolisch,Antalonian
b_entoto,b_entoto,Entoto,Entoto
b_entoto,b_entoto_adj,Entotisch,
b_hayq,b_hayq,Haik,Hayq
b_hayq,b_hayq_adj,Haikisch,
b_bale,b_bale,Bale,Bale
b_bale,b_bale_adj,Balisch,
c_angot,PROV1514,Angot,Angot
c_angot,c_angot_adj,Angotisch,Angoti
b_lalibela,b_lalibela,Lalibela,Lalibela
b_lalibela,b_lalibela_adj,Lalibelisch,
b_adafa,b_adafa,Adafa,Adafa
b_adafa,b_adafa_adj,Adafisch,
b_berakit,b_berakit,Berakit,Berakit
b_berakit,b_berakit_adj,Berakisch,
b_gashena,b_gashena,Gashena,Gashena
b_gashena,b_gashena_adj,Gashenisch,
b_arbit,b_arbit,Arbit,Arbit
b_arbit,b_arbit_adj,Arbitisch,
c_shewa,PROV1521,Shoa,Shewa
c_shewa,c_shewa_adj,Shoisch,Shewan
b_shewa,b_shewa,Shoa,Shewa
b_shewa,b_shewa_adj,Shoisch,
b_antsokia,b_antsokia,Antsokia,Antsokia
b_antsokia,b_antsokia_adj,Antsokisch,
b_debreberhan,b_debreberhan,Debre Berhan,Debre Berhan
b_debreberhan,b_debreberhan_adj,Berhanisch,
k_nubia,k_nubia,Nubien,Nubia
k_nubia,k_nubia_adj,Nubisch,Nubian
d_alodia,d_alodia,Alodien,Alodia
d_alodia,d_alodia_adj,Alodisch,Alodian
c_soba,PROV1490,Soba,Soba
c_soba,c_soba_adj,Sobisch,Soban
b_soba,b_soba,Soba,Soba
b_soba,b_soba_adj,Sobisch,
b_altekaina,b_altekaina,Altekaina,Altekaina
b_altekaina,b_altekaina_adj,Altekainisch,
b_rufaa,b_rufaa,Rufa'a,Rufa'a
b_rufaa,b_rufaa_adj,Rufaisch,
b_arbagi,b_arbagi,Arbagi,Arbagi
b_arbagi,b_arbagi_adj,Arbagisch,
c_alwa,PROV1491,Alwa,Alwa
c_alwa,c_alwa_adj,Alwanisch,Alwanan
b_alwa,b_alwa,Alwa,Alwa
b_alwa,b_alwa_adj,Alwanisch,
b_omdurman,b_omdurman,Omdurman,Omdurman
b_omdurman,b_omdurman_adj,Omdurmisch,
b_kadero,b_kadero,Kadero,Kadero
b_kadero,b_kadero_adj,Kaderisch,
c_butana,PROV1492,Butana,Butana
c_butana,c_butana_adj,Butanisch,Butanan
b_meruwah,b_meruwah,Meruwa,Meruwa
b_meruwah,b_meruwah_adj,Meruwisch,
b_shendi,b_shendi,Shendi,Shendi
b_shendi,b_shendi_adj,Shendisch,
b_naqa,b_naqa,Naqa,Naqa
b_naqa,b_naqa_adj,Naqisch,
d_nubia,d_nubia,Nubien,Nubia
d_nubia,d_nubia_adj,Nubisch,Nibian
c_makuria,PROV793,Makurien,Makuria
c_makuria,c_makuria_adj,Makurisch,Makurian
b_meroe,b_meroe,Meroe,Meroe
b_meroe,b_meroe_adj,Meroisch,
b_nuri,b_nuri,Nuri,Nuri
b_nuri,b_nuri_adj,Nurisch,
b_kareima,b_kareima,Kareima,Kareima
b_kareima,b_kareima_adj,Kareimisch,
b_djebel_barka,b_djebel_barka,Djebel Barkal,Djebel Barka
b_djebel_barka,b_djebel_barka_adj,Barkalisch,
b_djebel_barka,greek,Napata,Napata
b_djebel_barka,roman,Napata,Napata
b_tankasi,b_tankasi,Tankasi,Tankasi
b_tankasi,b_tankasi_adj,Tankasisch,
b_korti,b_korti,Korti,Korti
b_korti,b_korti_adj,Kortisch,
c_atbara,PROV879,Atbara,Atbara
c_atbara,c_atbara_adj,Atbarisch,Atbaran
b_atbara,b_atbara,Atbara,Atbara
b_atbara,b_atbara_adj,Atbarisch,
b_eddamer,b_eddamer,Ad-Damir,Ed-Damed
b_eddamer,b_eddamer_adj,Damirisch,
b_berber,b_berber,Berber,Berber
b_berber,b_berber_adj,Berbeisch,
c_dongola,PROV1230,Dongola,Dongola
c_dongola,c_dongola_adj,Dongolisch,Dongolan
b_dongola,b_dongola,Dongola,Dongola
b_dongola,b_dongola_adj,Dongolisch,
b_tumbus,b_tumbus,Tumbus,Tumbus
b_tumbus,b_tumbus_adj,Tumbisch,
b_kerma,b_kerma,Kerma,Kerma
b_kerma,b_kerma_adj,Kermisch,
b_old_dongola,b_old_dongola,Alt Dunqula,Old Dongola
b_old_dongola,b_old_dongola_adj,Dunqulisch,
b_eddeba,b_eddeba,Ed-Deba,Ed-Deba
b_eddeba,b_eddeba_adj,Debisch,
b_grnetti,b_grnetti,Grnetti,Grnetti
b_grnetti,b_grnetti_adj,Grnetisch,
c_abuhammad,PROV1494,Abu Hammad,Abu Hammad
c_abuhammad,c_abuhammad_adj,Hammidisch,Abuhammadan
b_abuhammad,b_abuhammad,Abu Hammad,Abu Hammad
b_abuhammad,b_abuhammad_adj,Hammidisch,
b_kurgus,b_kurgus,Kurgus,Kurgus
b_kurgus,b_kurgus_adj,Kurgisch,
b_alusheir,b_alusheir,Al-Usheir,Al-Usheir
b_alusheir,b_alusheir_adj,Usheirisch,
c_ghazali,PROV1495,Al-Ghazali,Al-Ghazali
c_ghazali,c_ghazali_adj,Ghazalisch,Ghazali
b_ghazali,b_ghazali,Ghazali,Ghazali
b_ghazali,b_ghazali_adj,Ghazalisch,
d_nobatia,d_nobatia,Nobatien,Nobatia
d_nobatia,d_nobatia_adj,Nobatisch,Nobatian
c_nubia,PROV792,Nubien,Nubia
c_nubia,c_nubia_adj,Nubisch,Nubian
c_nubia,greek,Pakhôras,Pakhôras
c_nubia,c_nubia_adj_greek,Pakhôrisch,Pakhôran
c_nubia,nubian,Para,Para
c_nubia,roman,Pakhoras,Pachoras
b_faras,b_faras,Faras,Faras
b_faras,b_faras_adj,Farasisch,
b_faras,greek,Pakhôras,Pakhôras
b_faras,nubian,Para,Para
b_faras,roman,Pachoras,Pachoras
b_meinarti,b_meinarti,Meinarti,Meinarti
b_meinarti,b_meinarti_adj,Meinaisch,
b_gebeladda,b_gebeladda,Djebel Adda,Gebel Adda
b_gebeladda,b_gebeladda_adj,Addisch,
b_arramal,b_arramal,Al-Ramal,Al-Ramal
b_arramal,b_arramal_adj,Ramalisch,
b_qasrelwizz,b_qasrelwizz,Qasr al-Wizz,Qasr el-Wizz
b_qasrelwizz,b_qasrelwizz_adj,Wizzisch,
b_arminna,b_arminna,Arminna,Arminna
b_arminna,b_arminna_adj,Arminisch,
c_semna,PROV1499,Semna,Semna
c_semna,c_semna_adj,Semnisch,Semnan
b_semna,b_semna,Semna,Semna
b_semna,b_semna_adj,Semnisch,
b_sai,b_sai,Sai,Sai
b_sai,b_sai_adj,Saisch,
b_sai,greek,Saye,Saye
b_sai,roman,Saye,Saye
b_akasha,b_akasha,Akasha,Akasha
b_akasha,b_akasha_adj,Akashisch,
b_kulb,b_kulb,Kulb,Kulb
b_kulb,b_kulb_adj,Kulbisch,
b_gemai,b_gemai,Gemai,Gemai
b_gemai,b_gemai_adj,Germisch,
c_qasribrim,PROV1500,Qasr Ibrim,Qasr Ibrim
c_qasribrim,c_qasribrim_adj,Ibrimisch,Qasribriman
c_qasribrim,coptic,Prim,Prim
c_qasribrim,greek,Primis,Primis
c_qasribrim,c_qasribrim_adj_greek,Primisch,Primian
c_qasribrim,roman,Premis,Premis
b_qasribrim,b_qasribrim,Qasr Ibrim,Qasr Ibrim
b_qasribrim,b_qasribrim_adj,Ibrimisch,
b_qasribrim,coptic,Prim,Prim
b_qasribrim,greek,Primis,Primis
b_qasribrim,roman,Premis,Premis
b_qurta,b_qurta,Qurta,Qurta
b_qurta,b_qurta_adj,Qurtisch,
b_aniba,b_aniba,Aniba,Aniba
b_aniba,b_aniba_adj,Anibisch,
b_ikhmindi,b_ikhmindi,Ikhmindi,Ikhmindi
b_ikhmindi,b_ikhmindi_adj,Ikhmindisch,
b_ikhmindi,greek,Hierasykaminos,Hierasykaminos
b_ikhmindi,roman,Hierasykaminos,Hierasykaminos
b_sheikhdaud,b_sheikhdaud,Sheik Daud,Sheik Daud
b_sheikhdaud,b_sheikhdaud_adj,Daudisch,
b_mahareaka,b_mahareaka,Mahareaka,Mahareaka
b_mahareaka,b_mahareaka_adj,Maharisch,
k_sennar,k_sennar,Sennar,Sennar
k_sennar,k_sennar_adj,Sennarisch,Sennarí
d_sennar,d_sennar,Sennar,Sennar
d_sennar,d_sennar_adj,Sennarisch,Sennar
c_sennar,PROV880,Sennar,Sennar
c_sennar,c_sennar_adj,Sennarisch,Sennarian
b_sennar,b_sennar,Sennar,Sennar
b_sennar,b_sennar_adj,Sennarisch,
b_kosti,b_kosti,Kosti,Kosti
b_kosti,b_kosti_adj,Kostisch,
b_sinjah,b_sinjah,Sindjar,Sinjah
b_sinjah,b_sinjah_adj,Sindjarisch,
b_bakkah,b_bakkah,Bakkah,Bakkah
b_bakkah,b_bakkah_adj,Bakkaisch,
c_asosa,PROV881,Asosa,Asosa
c_asosa,c_asosa_adj,Asosisch,Asosan
b_asosa,b_asosa,Asosa,Asosa
b_asosa,b_asosa_adj,Asosisch,
b_bambasi,b_bambasi,Bambasi,Bambasi
b_bambasi,b_bambasi_adj,Bambasisch,
b_genetemariam,b_genetemariam,Genete Mariam,Genete Mariam
b_genetemariam,b_genetemariam_adj,Mariamisch,
b_mankush,b_mankush,Mankush,Mankush
b_mankush,b_mankush_adj,Mankusisch,
d_darfur,d_darfur,Darfur,Darfur
d_darfur,d_darfur_adj,Darfuisch,Darfurí
c_uri,PROV1229,Uri,Uri
c_uri,c_uri_adj,Urisch,Uri
b_uri,b_uri,Uri,Uri
b_uri,b_uri_adj,Urisch,
b_elfasher,b_elfasher,Al-Fashir,el-Fasher
b_elfasher,b_elfasher_adj,Fashirisch,
b_ainfarah,b_ainfarah,Ain Farah,Ain Farah
b_ainfarah,b_ainfarah_adj,Farahisch,
c_kordofan,PROV1485,Kordofan,Kordofan
c_kordofan,c_kordofan_adj,Kordofanisch,Kordofani
b_elobeid,b_elobeid,Al-Ubayyid,el-Obeid
b_elobeid,b_elobeid_adj,Ubayyidisch,
b_tagali,b_tagali,Tagali,Tagali
b_tagali,b_tagali_adj,Tagalisch,
k_maikelebahr,k_maikelebahr,Maikele Bahr,Maikele Bahr
k_maikelebahr,k_maikelebahr_adj,Maikeisch,Maikele Bahrí
d_aydhab,d_aydhab,Aydhab,Aydhab
d_aydhab,d_aydhab_adj,Aydhabisch,Aydhabí
c_aydhab,PROV1501,Aydhab,Aydhab
c_aydhab,c_aydhab,Aydhab,Aydhab
c_aydhab,c_aydhab_adj,Aydhabisch,Aydhaban
c_aydhab,greek,Berenike,Berenike
c_aydhab,c_aydhab_adj_greek,Berenikisch,Berenikan
c_aydhab,roman,Berenice,Berenice
c_aydhab,c_aydhab_adj_roman,Benerikisch,Berenikan
b_aydhab,b_aydhab,Aydhab,Aydhab
b_aydhab,b_aydhab_adj,Aydhabisch,
b_aydhab,greek,Berenike,Berenike
b_aydhab,roman,Berenice,Berenice
b_halaib,b_halaib,Hala'ib,Haláib
b_halaib,b_halaib_adj,Halaibisch,
b_birshalatayn,b_birshalatayn,Bir Shalatein,Bir Shalatayn
b_birshalatayn,b_birshalatayn_adj,Shalatisch,
c_naqis,PROV1593,Naqis,Naqis
c_naqis,c_naqis_adj,Naqisch,Naqîsî
b_naqis,b_naqis,Naqís,Naqís
b_naqis,b_naqis_adj,Naqisch,
b_hajar,b_hajar,Hajar,Hajar
b_hajar,b_hajar_adj,Hajarisch,
c_suakin,PROV1503,Sawakin,Suakin
c_suakin,c_suakin,Sawakin,Suakin
c_suakin,c_suakin_adj,Sawakisch,Suakinan
c_suakin,greek,Limen Evangelis,Limen Evangelis
c_suakin,c_suakin_adj_greek,Limen Evangelisch,Limen Evangelian
c_suakin,roman,Limen Evangelis,Limen Evangelis
c_suakin,c_suakin_adj_roman,Limen Evangelisch,Limen Evangelian
b_alkabli,b_alkabli,Al-Kabli,Al-Kabli
b_alkabli,b_alkabli_adj,Kablisch,
b_sawakin,b_sawakin,Sawakín,Suwakín
b_sawakin,b_sawakin_adj,Sawakisch,
b_sawakin,greek,Limen Evangelis,Limen Evangelis
b_sawakin,roman,Limen Evangelis,Limen Evangelis
b_shafia,b_shafia,Shafia,Shafia
b_shafia,b_shafia_adj,Shafiisch,
c_maikele_bahr,PROV1502,Maikele Bahr,Maikele Bahr
c_maikele_bahr,c_maikele_bahr_adj,Bahisch,Maikele Bahran
b_sinkat,b_sinkat,Sinkat,Sinkat
b_sinkat,b_sinkat_adj,Sinkaisch,
d_badi,d_badi,Badi,Badi
d_badi,d_badi_adj,Badisch,Badian
c_hayya,PROV878,Bâdi,Bâdi
c_hayya,c_hayya_adj,Hayyaisch,Hayyan
b_badi,b_badi,Bâdi,Bádi
b_badi,b_badi_adj,Bâdisch,
b_ini,b_ini,Ini,Ini
b_ini,b_ini_adj,Inisch,
c_marya,PROV1507,Marya,Marya
c_marya,c_marya_adj,Maryaisch,Maryi
b_marya,b_marya,Marya,Marya
b_marya,b_marya_adj,Maryaisch,
b_bogos,b_bogos,Bogos,Bogos
b_bogos,b_bogos_adj,Bogosisch,
c_adulis,PROV1508,Adulis,Adulis
c_adulis,c_adulis_adj,Adulisch,Aduli
b_adulis,b_adulis,Adulis,Adulis
b_adulis,b_adulis_adj,Adulisch,
b_misiwwa,b_misiwwa,Misiwwa,Misiwwa
b_misiwwa,b_misiwwa_adj,Misiwisch,
d_kassala,d_kassala,Kassala,Kassala
d_kassala,d_kassala_adj,Kassalisch,Kassalí
c_kassala,PROV877,Kassala,Kassala
c_kassala,c_kassala_adj,Kassalisch,Kassalan
b_djarin,b_djarin,Djarin,Djarin
b_djarin,b_djarin_adj,Djarisch,
b_kassala,b_kassala,Kassala,Kassala
b_kassala,b_kassala_adj,Kassalisch,
b_showak,b_showak,Al-Showak,Showak
b_showak,b_showak_adj,Showakisch,
c_wolqayt,PROV1489,Wolqayt,Wolqayt
c_wolqayt,c_wolqayt_adj,Wolqaytisch,Wolqayt
b_wolqayt,b_wolqayt,Wolqayt,Wolqayt
b_wolqayt,b_wolqayt_adj,Wolqaytisch,
