#,T,I,T,L,E
K,E,Y
V,A,L,U,E
S,W,M,H
c_ostfriesland,low_german,,Oostfreesland
b_emden,b_emden,,Emden
b_emden,b_emden_adj,,
b_emden,frisian,,Oamde
b_aurich,b_aurich,,Aurich
b_aurich,b_aurich_adj,,
b_aurich,frisian,,Aurk
b_aurich,low_german,,Auerk
b_borkum,b_borkum,,Borkum
b_borkum,b_borkum_adj,,
b_norden,b_norden,,Norden
b_norden,b_norden_adj,,
b_norden,low_german,,Nörden
c_rustringen,PROV1184,,Rüstringen
c_rustringen,c_rustringen,,
c_rustringen,c_rustringen_adj,,Rüstringer
c_rustringen,dutch,,Rustringen
c_rustringen,frisian,,Rjustringen
b_jever,b_jever,,Jever
b_jever,b_jever_adj,,
b_siebethsburg,b_siebethsburg,,Siebethsburg
b_siebethsburg,b_siebethsburg_adj,,
b_siebethsburg,frisian,,Sibetsboarch
b_siebethsburg,german,,Sibethsburg
b_siebethsburg,low_german,,Sibetsborg
b_varel,b_varel,,Varel
b_varel,b_varel_adj,,
b_varel,frisian,,Foarel
c_westfriesland,PROV81,,Westfriesland
c_westfriesland,c_westfriesland,,
c_westfriesland,c_westfriesland_adj,,Westfrieslander
c_westfriesland,dutch,,West Friesland
c_westfriesland,frankish,,Frise Occidentale
c_westfriesland,frisian,,West Fryslân
c_westfriesland,german,,Westfriesland
b_alkmaar,b_alkmaar,,Alkmaar
b_alkmaar,b_alkmaar_adj,,
b_alkmaar,frisian,,Alkmar
b_alkmaar,german,,Alkmar
b_hoorn,b_hoorn,,Hoorn
b_hoorn,b_hoorn_adj,,
b_hoorn,frisian,,Hoarn
b_medemblik,b_medemblik,,Medemblik
b_medemblik,b_medemblik_adj,,
b_egmond,b_egmond,,Egmond
b_egmond,b_egmond_adj,,
c_frisia,PROV84,,Friesland
c_frisia,c_frisia,,
c_frisia,c_frisia_adj,,Frisian
c_frisia,dutch,,Friesland
c_frisia,frankish,,Frise
c_frisia,frisian,,Fresland
c_frisia,german,,Friesland
b_groningen,b_groningen,,Groningen
b_groningen,b_groningen_adj,,
b_groningen,frankish,,Groningue
b_groningen,frisian,,Grins
b_groningen,low_german,,Grunnen
b_leeuwarden,b_leeuwarden,,Leeuwarden
b_leeuwarden,b_leeuwarden_adj,,
b_leeuwarden,frankish,,Leuvarde
b_leeuwarden,frisian,,Ljouwert
b_stavoren,b_stavoren,,Stavoren
b_stavoren,b_stavoren_adj,,
b_stavoren,dutch,,Staveren
b_stavoren,frisian,,Starum
b_stavoren,german,,Staveren
b_dokkum,b_dokkum,,Dokkum
b_dokkum,b_dokkum_adj,,
k_upper_lorraine,k_upper_lorraine,,Oberlothringen
k_upper_lorraine,k_upper_lorraine_adj,,Oberlothringische
k_upper_lorraine,dutch,,Opper Lotharingen
k_upper_lorraine,frankish,,Haute Lotharingie
k_upper_lorraine,german,,Oberlothringen
k_upper_lorraine,name_tier,,duke
d_trier,d_trier,,Trier
d_trier,d_trier_adj,,Trierische
d_trier,frankish,,Trèves
d_trier,foa,,FE_FOA
d_trier,title,,FE
d_trier,title_prefix,,FE_OF
c_trier,PROV118,,Trier
c_trier,c_trier,,
c_trier,c_trier_adj,,Trierian
c_trier,frankish,,Trèves
c_trier,greek,,Augousta Treveroron
c_trier,roman,,Augusta Treverorum
b_andernach,b_andernach,,Andernach
b_andernach,b_andernach_adj,,
b_trier,b_trier,,Trier
b_trier,b_trier_adj,,
b_trier,frankish,,Trèves
b_trier,greek,,Augousta Treveroron
b_trier,roman,,Augusta Treverorum
b_coblenz,b_coblenz,,Coblenz
b_coblenz,b_coblenz_adj,,
b_coblenz,dutch,,Koblenz
b_coblenz,frankish,,Coblence
b_coblenz,german,,Koblenz
b_wittlich,b_wittlich,,Wittlich
b_wittlich,b_wittlich_adj,,
d_luxembourg,d_luxembourg,,Luxembourg
d_luxembourg,d_luxembourg_adj,,Luxembourgian
d_luxembourg,dutch,,Lutzelburg
d_luxembourg,german,,Lützelburg
c_arlon,PROV1021,,Arlon
c_arlon,c_arlon,,
c_arlon,c_arlon_adj,,Arlon
c_arlon,dutch,,Aarlen
c_arlon,german,,Arel
b_arlon,b_arlon,,Arlon
b_arlon,b_arlon_adj,,
b_arlon,dutch,,Aarlen
b_arlon,german,,Arel
b_useldange,b_useldange,,Useldange
b_useldange,b_useldange_adj,,
b_useldange,german,,Useldingen
b_longwy,b_longwy,,Longwy
b_longwy,b_longwy_adj,,
b_longwy,german,,Langich
b_wilzenn,b_wilzenn,,Wiltz
b_wilzenn,b_wilzenn_adj,,
c_luxembourg,PROV115,,Luxembourg
c_luxembourg,c_luxembourg,,
c_luxembourg,c_luxembourg_adj,,Luxembourgian
c_luxembourg,dutch,,Lutzelburg
c_luxembourg,german,,Lützelburg
b_luxembourg,b_luxembourg,,Luxembourg
b_luxembourg,b_luxembourg_adj,,
b_luxembourg,dutch,,Lutzelburg
b_luxembourg,german,,Lützelburg
b_echternach,b_echternach,,Echternach
b_echternach,b_echternach_adj,,
b_ansembourg,b_ansembourg,,Ansembourg
b_ansembourg,b_ansembourg_adj,,
b_ansembourg,german,,Ansemburg
b_bradenbourg,b_bradenbourg,,Bradenbourg
b_bradenbourg,b_bradenbourg_adj,,
b_bradenbourg,german,,Bradenburg
b_thionville,b_thionville,,Thionville
b_thionville,b_thionville_adj,,
b_thionville,dutch,,Diedenhoven
b_thionville,german,,Diedenhofen
c_laroche,PROV1060,,La Roche
c_laroche,c_laroche,,
c_laroche,c_laroche_adj,,La Rochian
b_laroche,b_laroche,,Laroche
b_laroche,b_laroche_adj,,
b_laroche,german,,Fels
b_durbuy,b_durbuy,,Durbuy
b_durbuy,b_durbuy_adj,,
b_bastogne,b_bastogne,,Bastogne
b_bastogne,b_bastogne_adj,,
b_bastogne,dutch,,Bastenaken
b_bastogne,german,,Bastenach
c_chiny,PROV1061,,Chiny
c_chiny,c_chiny,,
c_chiny,c_chiny_adj,,Cinean
b_chiny,b_chiny,,Chiny
b_chiny,b_chiny_adj,,
b_orchimont,b_orchimont,,Orchimont
b_orchimont,b_orchimont_adj,,
b_orval,b_orval,,Orval
b_orval,b_orval_adj,,
d_pfalz,d_pfalz,,Pfalzgrafschaft bei Rhein
d_pfalz,d_pfalz_adj,,Pfälzische
d_pfalz,dutch,,Paltsgraafschap aan de Rijn
d_pfalz,frankish,,Comté Palatinat du Rhin
d_pfalz,german,,Pfalzgrafschaft bei Rhein
d_pfalz,foa,,PALATINE_FOA
d_pfalz,short_name,,yes
d_pfalz,title,,PALATINE
d_pfalz,title_female,,PALATINEA
c_pfalz,PROV124,,Pfalz
c_pfalz,c_pfalz,,
c_pfalz,c_pfalz_adj,,Pfalzian
c_pfalz,dutch,,Palts
c_pfalz,frankish,,Palatinat
c_pfalz,german,,Pfalz
b_kaiserslautern,b_kaiserslautern,,Kaiserslautern
b_kaiserslautern,b_kaiserslautern_adj,,
b_worms,b_worms,,Worms
b_worms,b_worms_adj,,
b_heidelberg,b_heidelberg,,Heidelberg
b_heidelberg,b_heidelberg_adj,,
b_hagenau,b_hagenau,,Hagenau
b_hagenau,b_hagenau_adj,,
b_hagenau,frankish,,Haguenau
b_stahleck,b_stahleck,,Stahleck
b_stahleck,b_stahleck_adj,,
c_sponheim,PROV1062,,Sponheim
c_sponheim,c_sponheim,,
c_sponheim,c_sponheim_adj,,Sponheimische
c_sponheim,dutch,,Spanheim
c_sponheim,frankish,,Spanheim
c_sponheim,german,,Spanheim
b_sponheim,b_sponheim,,Sponheim
b_sponheim,b_sponheim_adj,,
b_sponheim,dutch,,Spanheim
b_sponheim,frankish,,Spanheim
b_sponheim,german,,Spanheim
b_alteburg,b_alteburg,,Alteburg
b_alteburg,b_alteburg_adj,,
b_starkenburg,b_starkenburg,,Starkenburg
b_starkenburg,b_starkenburg_adj,,
b_kreuznach,b_kreuznach,,Kreuznach
b_kreuznach,b_kreuznach_adj,,
c_zweibrucken,PROV1008,,Zweibrücken
c_zweibrucken,c_zweibrucken,,
c_zweibrucken,c_zweibrucken_adj,,Zweibrückische
c_zweibrucken,dutch,,Tweebruggen
c_zweibrucken,frankish,,Deux Ponts
c_zweibrucken,german,,Zweibrücken
b_zweibrucken,b_zweibrucken,,Zweibrücken
b_zweibrucken,b_zweibrucken_adj,,
b_zweibrucken,dutch,,Tweebruggen
b_zweibrucken,frankish,,Deux Ponts
b_zweibrucken,german,,Zweibrücken
b_veldenz,b_veldenz,,Veldenz
b_veldenz,b_veldenz_adj,,
b_hornbach,b_hornbach,,Hornbach
b_hornbach,b_hornbach_adj,,
b_vittlich,b_vittlich,,Vittlich
b_vittlich,b_vittlich_adj,,
b_vittlich,dutch,,Wittlich
b_vittlich,frankish,,Wittlich
b_vittlich,german,,Wittlich
d_upper_lorraine,d_upper_lorraine,,Lothringen
d_upper_lorraine,d_upper_lorraine_adj,,Lothringische
d_upper_lorraine,dutch,,Lorreinen
d_upper_lorraine,frankish,,Lorraine
d_upper_lorraine,german,,Lothringen
c_metz,PROV128,,Metz
c_metz,c_metz,,
c_metz,c_metz_adj,,Metzian
b_metz,b_metz,,Metz
b_metz,b_metz_adj,,
b_rixingen,b_rixingen,,Rixingen
b_rixingen,b_rixingen_adj,,
b_rixingen,dutch,,Rixingen
b_rixingen,frankish,,Réchicourt
b_rixingen,german,,Rixingen
b_saintjulien,b_saintjulien,,Saint-Julién
b_saintjulien,b_saintjulien_adj,,
b_hingsingen,b_hingsingen,,Hingsingen
b_hingsingen,b_hingsingen_adj,,
c_saarbrucken,PROV942,,Saarbrücken
c_saarbrucken,c_saarbrucken,,
c_saarbrucken,c_saarbrucken_adj,,Saarbrückische
c_saarbrucken,dutch,,Saarbruggen
c_saarbrucken,frankish,,Sarrebruck
c_saarbrucken,german,,Saarbrücken
b_saarbrucken,b_saarbrucken,,Saarbrücken
b_saarbrucken,b_saarbrucken_adj,,
b_saarbrucken,dutch,,Saarbruggen
b_saarbrucken,frankish,,Sarrebruck
b_saarbrucken,german,,Saarbrücken
b_hohnburg,b_hohnburg,,Hohenburg
b_hohnburg,b_hohnburg_adj,,
b_hohnburg,frankish,,Hohenbourg
b_hohnburg,german,,Hohenburg
b_neukirchen,b_neukirchen,,Neukirchen
b_neukirchen,b_neukirchen_adj,,
c_saintois,PROV133,,Vaudémont
c_saintois,c_saintois,,
c_saintois,c_saintois_adj,,Saintoisian
b_saintois,b_saintois,,Saintois
b_saintois,b_saintois_adj,,
b_joinville,b_joinville,,Joinville
b_joinville,b_joinville_adj,,
b_neufchateau,b_neufchateau,,Neufchateau
b_neufchateau,b_neufchateau_adj,,
b_vaudemont,b_vaudemont,,Vaudemont
b_vaudemont,b_vaudemont_adj,,
c_lorraine,PROV127,,Blâmont
c_lorraine,c_lorraine,,
c_lorraine,c_lorraine_adj,,Lorrainian
b_nancy,b_nancy,,Nancy
b_nancy,b_nancy_adj,,
b_nancy,german,,Nanzig
b_blamont,b_blamont,,Blámont
b_blamont,b_blamont_adj,,
b_blamont,german,,Blankenberg
b_sarrebourg,b_sarrebourg,,Sarrebourg
b_sarrebourg,b_sarrebourg_adj,,
b_sarrebourg,german,,Saarburg
b_mirecourt,b_mirecourt,,Mirecourt
b_mirecourt,b_mirecourt_adj,,
b_mirecourt,german,,Meierhofen
b_epinal,b_epinal,,Epinal
b_epinal,b_epinal_adj,,
b_epinal,german,,Spinal
d_barleduc,d_barleduc,,Bar
d_barleduc,d_barleduc_adj,,Barrois
c_verdun,PROV129,,Verdun
c_verdun,c_verdun,,
c_verdun,c_verdun_adj,,Verdunian
c_verdun,german,,Wirtten
b_verdun,b_verdun,,Verdun
b_verdun,b_verdun_adj,,
b_verdun,german,,Wirtten
b_saintmihel,b_saintmihel,,Saint-Mihiel
b_saintmihel,b_saintmihel_adj,,
b_longuyon,b_longuyon,,Longuyon
b_longuyon,b_longuyon_adj,,
b_doaumont,b_doaumont,,Doaumont
b_doaumont,b_doaumont_adj,,
b_doaumont,frankish,,Douaumont
c_bar,PROV930,,Bar
c_bar,c_bar,,
c_bar,c_bar_adj,,Bar
b_commercy,b_commercy,,Commercy
b_commercy,b_commercy_adj,,
b_commercy,german,,Commarchen
b_ligneybarroias,b_ligneybarroias,,Liegny
b_ligneybarroias,b_ligneybarroias_adj,,
b_barleduc,b_barleduc,,Bar-le-Duc
b_barleduc,b_barleduc_adj,,
b_vaucouleurs,b_vaucouleurs,,Vaucouleurs
b_vaucouleurs,b_vaucouleurs_adj,,
c_pontamousson,PROV1028,,Pont-á-Mousson
c_pontamousson,c_pontamousson,,
c_pontamousson,c_pontamousson_adj,,Pont-á-Mousson
b_pontamousson,b_pontamousson,,Pont-á-Mousson
b_pontamousson,b_pontamousson_adj,,
b_pontamousson,german,,Mussenbrück
b_briey,b_briey,,Briey
b_briey,b_briey_adj,,
b_briey,german,,Brieg
b_scaaarpone,b_scaaarpone,,Scarpone
b_scaaarpone,b_scaaarpone_adj,,
b_toul,b_toul,,Toul
b_toul,b_toul_adj,,
b_toul,german,,Tull
k_lower_lorraine,k_lower_lorraine,,Niederlothringen
k_lower_lorraine,k_lower_lorraine_adj,,Niederlothringische
k_lower_lorraine,dutch,,Neder Lotharingen
k_lower_lorraine,frankish,,Basse Lotharingie
k_lower_lorraine,german,,Niederlothringen
k_lower_lorraine,name_tier,,duke
d_liege,d_liege,,Liége
d_liege,d_liege_adj,,Liégeois
d_liege,dutch,,Luik
d_liege,frankish,,Liége
d_liege,german,,Lüttich
c_liege,PROV116,,Liege
c_liege,c_liege,,
c_liege,c_liege_adj,,Liegian
c_liege,dutch,,Luik
c_liege,frankish,,Liége
c_liege,german,,Lüttich
b_liege,b_liege,,Liege
b_liege,b_liege_adj,,
b_liege,dutch,,Luik
b_liege,frankish,,Liége
b_liege,german,,Lüttich
b_huy,b_huy,,Huy
b_huy,b_huy_adj,,
b_huy,dutch,,Hoei
b_fexhe,b_fexhe,,Fexhe
b_fexhe,b_fexhe_adj,,
b_bouillon,b_bouillon,,Bouillon
b_bouillon,b_bouillon_adj,,
b_bouillon,dutch,,Bullioen
b_bouillon,german,,Beulen
c_loon,PROV91,,Loon
c_loon,c_loon,,
c_loon,c_loon_adj,,Loonian
c_loon,frankish,,Looz
b_loon,b_loon,,Loon
b_loon,b_loon_adj,,
b_loon,frankish,,Looz
b_hasselt,b_hasselt,,Hasselt
b_hasselt,b_hasselt_adj,,
b_heinsberg,b_heinsberg,,Heinsberg
b_heinsberg,b_heinsberg_adj,,
b_tongeren,b_tongeren,,Tongeren
b_tongeren,b_tongeren_adj,,
b_tongeren,frankish,,Tongres
b_tongeren,german,,Tongern
d_limburg,d_limburg,,Limburg
d_limburg,d_limburg_adj,,Limburgse
d_limburg,frankish,,Limbourg
c_limburg,PROV1057,,Limburg
c_limburg,c_limburg,,
c_limburg,c_limburg_adj,,Limburgische
b_limburg,b_limburg,,Limburg
b_limburg,b_limburg_adj,,
b_limburg,frankish,,Limbourg
b_valkenburg,b_valkenburg,,Valkenburg
b_valkenburg,b_valkenburg_adj,,
b_valkenburg,frankish,,Fauquemont
b_valkenburg,german,,Falkenburg
b_maastricht,b_maastricht,,Maastricht
b_maastricht,b_maastricht_adj,,
b_maastricht,frankish,,Maestricht
b_maastricht,german,,Maestricht
b_wassenberg,b_wassenberg,,Wassenberg
b_wassenberg,b_wassenberg_adj,,
b_wassenberg,frankish,,Wassemberg
c_vianden,PROV1018,,Vianden
c_vianden,c_vianden,,
c_vianden,c_vianden_adj,,Viandische
b_vianden,b_vianden,,Vianden
b_vianden,b_vianden_adj,,
b_prum,b_prum,,Prüm
b_prum,b_prum_adj,,
b_prum,german,,Prüm
b_ham,b_ham,,Ham
b_ham,b_ham_adj,,
b_duren,b_duren,,Düren
b_duren,b_duren_adj,,
b_duren,german,,Düren
d_koln,d_koln,,Köln
d_koln,d_koln_adj,,Kölsche
d_koln,dutch,,Keulen
d_koln,frankish,,Cologne
d_koln,foa,,FE_FOA
d_koln,title,,FE
d_koln,title_prefix,,FE_OF
c_koln,PROV119,,Köln
c_koln,c_koln,,
c_koln,c_koln_adj,,Kölnian
c_koln,dutch,,Keulen
c_koln,frankish,,Cologne
b_koln,b_koln,,Köln
b_koln,b_koln_adj,,
b_koln,dutch,,Keulen
b_koln,frankish,,Cologne
b_koln,greek,,Colonia Agrippina
b_koln,roman,,Colonia Agrippina
b_bonn,b_bonn,,Bonn
b_bonn,b_bonn_adj,,
b_bonn,greek,,Bonna
b_bonn,roman,,Bonna
b_dietz,b_dietz,,Dietz
b_dietz,b_dietz_adj,,
b_saffenburg,b_saffenburg,,Saffenburg
b_saffenburg,b_saffenburg_adj,,
b_hochstaden,b_hochstaden,,Hochstaden
b_hochstaden,b_hochstaden_adj,,
b_brauweiler,b_brauweiler,,Brauwiler
b_brauweiler,b_brauweiler_adj,,
b_rolandseck,b_rolandseck,,Rolandseck
b_rolandseck,b_rolandseck_adj,,
d_berg,d_berg,,Jülich-Kleve-Berg
d_berg,d_berg_adj,,Niederrheinische
d_berg,dutch,,Gulik-Kleef-Berg
d_berg,frankish,,Juliers-Cléves-Berg
c_julich,PROV90,,Jülich
c_julich,c_julich,,
c_julich,c_julich_adj,,Jülichian
c_julich,dutch,,Gulik
c_julich,frankish,,Juliers
b_julich,b_julich,,Jülich
b_julich,b_julich_adj,,
b_julich,dutch,,Gulik
b_julich,frankish,,Juliers
b_nideggen,b_nideggen,,Nideggen
b_nideggen,b_nideggen_adj,,
b_nideggen,dutch,,Nidecken
b_monschau,b_monschau,,Monschau
b_monschau,b_monschau_adj,,
b_monschau,frankish,,Montjoie
b_zulpich,b_zulpich,,Zülpich
b_zulpich,b_zulpich_adj,,
b_zulpich,dutch,,Zulpik
c_kleve,PROV89,,Kleve
c_kleve,c_kleve,,
c_kleve,c_kleve_adj,,Klevian
c_kleve,dutch,,Kleef
c_kleve,frankish,,Cléves
b_kleve,b_kleve,,Kleve
b_kleve,b_kleve_adj,,
b_kleve,dutch,,Kleef
b_kleve,frankish,,Cléves
b_moers,b_moers,,Möers
b_moers,b_moers_adj,,
b_moers,dutch,,Meurs
b_krinvelde,b_krinvelde,,Krinvelde
b_krinvelde,b_krinvelde_adj,,
b_krinvelde,dutch,,Krinvelde
b_duisburg,b_duisburg,,Duisburg
b_duisburg,b_duisburg_adj,,
b_duisburg,dutch,,Duisburg
b_schwanenburg,b_schwanenburg,,Schwanenburg
b_schwanenburg,b_schwanenburg_adj,,
b_schwanenburg,dutch,,Zwanenburcht
c_berg,PROV1063,,Berg
c_berg,c_berg,,
c_berg,c_berg_adj,,Bergische
b_siegen,b_siegen,,Siegen
b_siegen,b_siegen_adj,,
b_westerberg,b_westerberg,,Westerberg
b_westerberg,b_westerberg_adj,,
b_olpe,b_olpe,,Olpe
b_olpe,b_olpe_adj,,
b_berg,b_berg,,Berg
b_berg,b_berg_adj,,
c_aachen,PROV1026,,Aachen
c_aachen,c_aachen,,
c_aachen,c_aachen_adj,,Aachener
c_aachen,dutch,,Aken
c_aachen,frankish,,Aix-la-Chapelle
b_pfalzaachen,b_pfalzaachen,,Pfalz Aachen
b_pfalzaachen,b_pfalzaachen_adj,,
b_pfalzaachen,dutch,,Palts Aken
b_burtscheid,b_burtscheid,,Burtscheid
b_burtscheid,b_burtscheid_adj,,
b_aachen,b_aachen,,Aachen
b_aachen,b_aachen_adj,,
b_aachen,dutch,,Aken
b_aachen,frankish,,Aix-la-Chapelle
k_saxony,k_saxony,,Sachsen
k_saxony,k_saxony_adj,,Sächsische
k_saxony,name_tier,,duke
d_angria,d_angria,,Engern
d_angria,d_angria_adj,,Engerische
c_mark,PROV1009,,Mark
c_mark,c_mark,,
c_mark,c_mark_adj,,Markische
b_altena,b_altena,,Altena
b_altena,b_altena_adj,,
b_hamm,b_hamm,,Hamm
b_hamm,b_hamm_adj,,
b_gevelsberg,b_gevelsberg,,Gevelsberg
b_gevelsberg,b_gevelsberg_adj,,
b_essen,b_essen,,Essen
b_essen,b_essen_adj,,
c_celle,PROV259,,Lippe
c_celle,c_celle,,
c_celle,c_celle_adj,,Cellian
b_stenberg,b_stenberg,,Stenberg
b_stenberg,b_stenberg_adj,,
b_paderborn,b_paderborn,,Paderborn
b_paderborn,b_paderborn_adj,,
b_detmold,b_detmold,,Detmold
b_detmold,b_detmold_adj,,
b_wevelsburg,b_wevelsburg,,Wevelsburg
b_wevelsburg,b_wevelsburg_adj,,
b_lippe,b_lippe,,Lippe
b_lippe,b_lippe_adj,,
c_schaumburg,PROV1020,,Schaumburg
c_schaumburg,c_schaumburg,,
c_schaumburg,c_schaumburg_adj,,Schaumburgische
b_schauenburg,b_schauenburg,,Schauenburg
b_schauenburg,b_schauenburg_adj,,
b_minden,b_minden,,Minden
b_minden,b_minden_adj,,
b_rinteln,b_rinteln,,Rinteln
b_rinteln,b_rinteln_adj,,
b_querheim,b_querheim,,Querheim
b_querheim,b_querheim_adj,,
d_oldenburg,d_oldenburg,,Niedersachsen
d_oldenburg,d_oldenburg_adj,,Niedersächsischer
c_tecklenburg,PROV1079,,Tecklenburg
c_tecklenburg,c_tecklenburg,,
c_tecklenburg,c_tecklenburg_adj,,Tecklenburgische
b_wildeshausen,b_wildeshausen,,Wildeshausen
b_wildeshausen,b_wildeshausen_adj,,
b_tecklenburg,b_tecklenburg,,Tecklenburg
b_tecklenburg,b_tecklenburg_adj,,
b_quackenbruck,b_quackenbruck,,Quackenbrück
b_quackenbruck,b_quackenbruck_adj,,
b_meppen,b_meppen,,Meppen
b_meppen,b_meppen_adj,,
c_bentheim,PROV953,,Bentheim
c_bentheim,c_bentheim,,
c_bentheim,c_bentheim_adj,,Bentheimer
b_bentheim,b_bentheim,,Bentheim
b_bentheim,b_bentheim_adj,,
b_nordhorn,b_nordhorn,,Nordhorn
b_nordhorn,b_nordhorn_adj,,
b_lingen,b_lingen,,Lingen
b_lingen,b_lingen_adj,,
c_oldenburg,PROV86,,Oldenburg
c_oldenburg,c_oldenburg,,
