#,T,I,T,L,E
K,E,Y
V,A,L,U,E
S,W,M,H
b_phanarion,b_phanarion_adj,,
b_phanarion,oghuz,,Fener
b_phanarion,pecheneg,,Fener
b_phanarion,turkish,,Fener
b_phanarion,turkmen,,Fener
b_deuteron,b_deuteron,,Deuteron
b_deuteron,b_deuteron_adj,,
b_deuteron,oghuz,,Topkapi
b_deuteron,pecheneg,,Topkapi
b_deuteron,turkish,,Topkapi
b_deuteron,turkmen,,Topkapi
b_pempton,b_pempton,,Pempton
b_pempton,b_pempton_adj,,
b_pempton,oghuz,,Yedikule
b_pempton,pecheneg,,Yedikule
b_pempton,turkish,,Yedikule
b_pempton,turkmen,,Yedikule
c_thrake,PROV497,,Thráke
c_thrake,c_thrake,,
c_thrake,c_thrake_adj,,Thrakian
c_thrake,bulgarian,,Trakija
c_thrake,c_thrake_adj_bulgarian,,Trakijan
c_thrake,oghuz,,Trakya
c_thrake,c_thrake_adj_oghuz,,Trakyan
c_thrake,pecheneg,,Trakya
c_thrake,turkish,,Trakya
c_thrake,c_thrake_adj_turkish,,Trakyan
c_thrake,turkmen,,Trakya
c_thrake,c_thrake_adj_turkmen,,Trakyan
b_arkadiopolis,b_arkadiopolis,,Arkadioupolis
b_arkadiopolis,b_arkadiopolis_adj,,
b_arkadiopolis,bulgarian,,Ljuleburgas
b_arkadiopolis,oghuz,,Lüleburgaz
b_arkadiopolis,pecheneg,,Lüleburgaz
b_arkadiopolis,turkish,,Lüleburgaz
b_arkadiopolis,turkmen,,Lüleburgaz
b_agathopolis,b_agathopolis,,Agathopolis
b_agathopolis,b_agathopolis_adj,,
b_agathopolis,bulgarian,,Ahtopol
b_agathopolis,oghuz,,Ahtenbolu
b_agathopolis,pecheneg,,Ahtenbolu
b_agathopolis,turkish,,Ahtenbolu
b_agathopolis,turkmen,,Ahtenbolu
b_brysis,b_brysis,,Brysis
b_brysis,b_brysis_adj,,
b_brysis,central_italian,,Verissa
b_brysis,corsican,,Verissa
b_brysis,dalmatian,,Verissa
b_brysis,frankish,,Verissa
b_brysis,italian,,Verissa
b_brysis,ligurian,,Verissa
b_brysis,neapolitan,,Verissa
b_brysis,norman,,Verissa
b_brysis,oghuz,,Bunarhisar
b_brysis,pecheneg,,Bunarhisar
b_brysis,sardinian,,Verissa
b_brysis,sicilian,,Verissa
b_brysis,southern_italian,,Verissa
b_brysis,turkish,,Bunarhisar
b_brysis,turkmen,,Bunarhisar
b_brysis,tuscan,,Verissa
b_brysis,venetian,,Verissa
b_bizye,b_bizye,,Bizye
b_bizye,b_bizye_adj,,
b_bizye,bulgarian,,Bisa
b_bizye,oghuz,,Vize
b_bizye,pecheneg,,Vize
b_bizye,turkish,,Vize
b_bizye,turkmen,,Vize
b_bulgarophygon,b_bulgarophygon,,Bulgaróphygon
b_bulgarophygon,b_bulgarophygon_adj,,
b_bulgarophygon,oghuz,,Babaeski
b_bulgarophygon,pecheneg,,Babaeski
b_bulgarophygon,turkish,,Babaeski
b_bulgarophygon,turkmen,,Babaeski
d_strymon,d_strymon,,Strymonos
d_strymon,d_strymon_adj,,Strymonian
d_strymon,oghuz,,Serez
d_strymon,d_strymon_adj_oghuz,,Serezian
d_strymon,pecheneg,,Serez
d_strymon,turkish,,Serez
d_strymon,d_strymon_adj_turkish,,Serezian
d_strymon,turkmen,,Serez
d_strymon,d_strymon_adj_turkmen,,Serezian
c_traianopolis,PROV1016,,Traianopolis
c_traianopolis,c_traianopolis,,
c_traianopolis,c_traianopolis_adj,,Traianopolitan
c_traianopolis,bulgarian,,Dimotika
c_traianopolis,c_traianopolis_adj_bulgarian,,Dimotikan
c_traianopolis,oghuz,,Demotika
c_traianopolis,c_traianopolis_adj_oghuz,,Demotikan
c_traianopolis,pecheneg,,Demotika
c_traianopolis,serbian,,Dimotika
c_traianopolis,c_traianopolis_adj_serbian,,Dimotikan
c_traianopolis,turkish,,Demotika
c_traianopolis,c_traianopolis_adj_turkish,,Demotikan
c_traianopolis,turkmen,,Demotika
c_traianopolis,c_traianopolis_adj_turkmen,,Demotikan
b_traianopolis,b_traianopolis,,Traianoupolis
b_traianopolis,b_traianopolis_adj,,
b_traianopolis,oghuz,,Hana
b_traianopolis,pecheneg,,Hana
b_traianopolis,turkish,,Hana
b_traianopolis,turkmen,,Hana
b_didymoteichon,b_didymoteichon,,Didymóteikhon
b_didymoteichon,b_didymoteichon_adj,,
b_didymoteichon,bulgarian,,Dimotika
b_didymoteichon,oghuz,,Demotika
b_didymoteichon,pecheneg,,Demotika
b_didymoteichon,serbian,,Dimotika
b_didymoteichon,turkish,,Demotika
b_didymoteichon,turkmen,,Demotika
b_maroneia,b_maroneia,,Maroneia
b_maroneia,b_maroneia_adj,,
b_maroneia,oghuz,,Maronya
b_maroneia,pecheneg,,Maronya
b_maroneia,turkish,,Maronya
b_maroneia,turkmen,,Maronya
c_strymon,PROV492,,Strymonos
c_strymon,c_strymon,,
c_strymon,c_strymon_adj,,Strymonitan
c_strymon,bulgarian,,Syar
c_strymon,c_strymon_adj_bulgarian,,Syarian
c_strymon,oghuz,,Serez
c_strymon,c_strymon_adj_oghuz,,Serezian
c_strymon,pecheneg,,Serez
c_strymon,serbian,,Ser
c_strymon,c_strymon_adj_serbian,,Serian
c_strymon,turkish,,Serez
c_strymon,c_strymon_adj_turkish,,Serezian
c_strymon,turkmen,,Serez
c_strymon,c_strymon_adj_turkmen,,Serezian
b_serres,b_serres,,Serrai
b_serres,b_serres_adj,,
b_serres,bulgarian,,Syar
b_serres,oghuz,,Serez
b_serres,pecheneg,,Serez
b_serres,serbian,,Ser
b_serres,turkish,,Serez
b_serres,turkmen,,Serez
b_kavala,b_kavala,,Khristoupolis
b_kavala,b_kavala_adj,,
b_kavala,oghuz,,Yeni Sehir
b_kavala,pecheneg,,Yeni Sehir
b_kavala,turkish,,Yeni Sehir
b_kavala,turkmen,,Yeni Sehir
b_philippi,b_philippi,,Philippoi
b_philippi,b_philippi_adj,,
b_philippi,oghuz,,Filibecik
b_philippi,pecheneg,,Filibecik
b_philippi,turkish,,Filibecik
b_philippi,turkmen,,Filibecik
b_siderokastron,b_siderokastron,,Siderokastron
b_siderokastron,b_siderokastron_adj,,
b_siderokastron,bulgarian,,Valovishta
b_siderokastron,oghuz,,Demirhisar
b_siderokastron,pecheneg,,Demirhisar
b_siderokastron,turkish,,Demirhisar
b_siderokastron,turkmen,,Demirhisar
c_mosynopolis,PROV940,,Mosynopolis
c_mosynopolis,c_mosynopolis,,
c_mosynopolis,c_mosynopolis_adj,,Mosynopolitan
c_mosynopolis,bulgarian,,Gyumyurdzina
c_mosynopolis,c_mosynopolis_adj_bulgarian,,Gyumyurdzinan
c_mosynopolis,oghuz,,Gümülcine
c_mosynopolis,c_mosynopolis_adj_oghuz,,Gümülcinan
c_mosynopolis,pecheneg,,Gümülcine
c_mosynopolis,turkish,,Gümülcine
c_mosynopolis,c_mosynopolis_adj_turkish,,Gümülcinan
c_mosynopolis,turkmen,,Gümülcine
c_mosynopolis,c_mosynopolis_adj_turkmen,,Gümülcinan
b_mosynopolis,b_mosynopolis,,Mosynopolis
b_mosynopolis,b_mosynopolis_adj,,
b_mosynopolis,bulgarian,,Gyumyurdzina
b_mosynopolis,oghuz,,Gümülcine
b_mosynopolis,pecheneg,,Gümülcine
b_mosynopolis,turkish,,Gümülcine
b_mosynopolis,turkmen,,Gümülcine
b_polystylon,b_polystylon,,Polystylon
b_polystylon,b_polystylon_adj,,
b_polystylon,oghuz,,Yenidje
b_polystylon,pecheneg,,Yenidje
b_polystylon,turkish,,Yenidje
b_polystylon,turkmen,,Yenidje
b_xanthia,b_xanthia,,Xantheia
b_xanthia,b_xanthia_adj,,
b_xanthia,bulgarian,,Skecha
b_xanthia,oghuz,,Iskeçe
b_xanthia,pecheneg,,Iskeçe
b_xanthia,turkish,,Iskeçe
b_xanthia,turkmen,,Iskeçe
d_thessalonika,d_thessalonika,,Thessalonikes
d_thessalonika,d_thessalonika_adj,,Thessalonikan
d_thessalonika,d_thessalonika_adj_bohemian,,Solunian
d_thessalonika,d_thessalonika_adj_bosnian,,Solunian
d_thessalonika,bulgarian,,Solun
d_thessalonika,d_thessalonika_adj_bulgarian,,Solunian
d_thessalonika,central_italian,,Tessalonica
d_thessalonika,corsican,,Tessalonica
d_thessalonika,d_thessalonika_adj_croatian,,Solunian
d_thessalonika,dalmatian,,Tessalonica
d_thessalonika,frankish,,Thessalonique
d_thessalonika,italian,,Tessalonica
d_thessalonika,d_thessalonika_adj_karantanci,,Solunian
d_thessalonika,ligurian,,Tessalonica
d_thessalonika,d_thessalonika_adj_moravian,,Solunian
d_thessalonika,neapolitan,,Tessalonica
d_thessalonika,norman,,Thessalonique
d_thessalonika,oghuz,,Selânik
d_thessalonika,pecheneg,,Selânik
d_thessalonika,d_thessalonika_adj_polish,,Solunian
d_thessalonika,d_thessalonika_adj_pommeranian,,Solunian
d_thessalonika,d_thessalonika_adj_russian,,Solun
d_thessalonika,sardinian,,Tessalonica
d_thessalonika,serbian,,Solun
d_thessalonika,d_thessalonika_adj_serbian,,Solunian
d_thessalonika,sicilian,,Tessalonica
d_thessalonika,southern_italian,,Tessalonica
d_thessalonika,turkish,,Selânik
d_thessalonika,d_thessalonika_adj_turkish,,Salonikan
d_thessalonika,turkmen,,Selânik
d_thessalonika,tuscan,,Tessalonica
d_thessalonika,venetian,,Tessalonica
c_chalkidike,PROV491,,Chalkidike
c_chalkidike,c_chalkidike,,
c_chalkidike,c_chalkidike_adj,,Chalkidikan
c_chalkidike,oghuz,,Halkidikya
c_chalkidike,c_chalkidike_adj_oghuz,,Halkidikyan
c_chalkidike,pecheneg,,Halkidikya
c_chalkidike,turkish,,Halkidikya
c_chalkidike,c_chalkidike_adj_turkish,,Halkidikyan
c_chalkidike,turkmen,,Halkidikya
c_chalkidike,c_chalkidike_adj_turkmen,,Halkidikyan
b_kassandria,b_kassandria,,Kassandreia
b_kassandria,b_kassandria_adj,,
b_kassandria,oghuz,,Kesendire
b_kassandria,pecheneg,,Kesendire
b_kassandria,turkish,,Kesendire
b_kassandria,turkmen,,Kesendire
b_mntathos,b_mntathos,,Agion Oros
b_mntathos,b_mntathos_adj,,
b_ierissos,b_ierissos,,Hierissos
b_ierissos,b_ierissos_adj,,
b_ierissos,oghuz,,Erse
b_ierissos,pecheneg,,Erse
b_ierissos,turkish,,Erse
b_ierissos,turkmen,,Erse
c_thessalonike,PROV490,,Thessaloníke
c_thessalonike,c_thessalonike,,
c_thessalonike,c_thessalonike_adj,,Thessalonikian
c_thessalonike,bohemian,,Solun
c_thessalonike,c_thessalonike_adj_bohemian,,Solunian
c_thessalonike,c_thessalonike_adj_bosnian,,Solunian
c_thessalonike,bulgarian,,Solun
c_thessalonike,c_thessalonike_adj_bulgarian,,Solunian
c_thessalonike,central_italian,,Tessalonica
c_thessalonike,c_thessalonike_adj_central_italian,,Tessalonican
c_thessalonike,corsican,,Tessalonica
c_thessalonike,c_thessalonike_adj_corsican,,Tessalonican
c_thessalonike,croatian,,Solun
c_thessalonike,c_thessalonike_adj_croatian,,Solunian
c_thessalonike,dalmatian,,Tessalonica
c_thessalonike,c_thessalonike_adj_dalmatian,,Tessalonican
c_thessalonike,frankish,,Thessalonique
c_thessalonike,c_thessalonike_adj_frankish,,Thessaloniqan
c_thessalonike,italian,,Tessalonica
c_thessalonike,c_thessalonike_adj_italian,,Tessalonican
c_thessalonike,karantanci,,Solun
c_thessalonike,c_thessalonike_adj_karantanci,,Solunian
c_thessalonike,ligurian,,Tessalonica
c_thessalonike,c_thessalonike_adj_ligurian,,Tessalonican
c_thessalonike,moravian,,Solun
c_thessalonike,c_thessalonike_adj_moravian,,Solunian
c_thessalonike,neapolitan,,Tessalonica
c_thessalonike,c_thessalonike_adj_neapolitan,,Tessalonican
c_thessalonike,norman,,Thessalonique
c_thessalonike,c_thessalonike_adj_norman,,Thessaloniqan
c_thessalonike,oghuz,,Selânik
c_thessalonike,c_thessalonike_adj_oghuz,,Selânikan
c_thessalonike,pecheneg,,Selânik
c_thessalonike,polish,,Solun
c_thessalonike,c_thessalonike_adj_polish,,Solunian
c_thessalonike,pommeranian,,Solun
c_thessalonike,c_thessalonike_adj_pommeranian,,Solunian
c_thessalonike,russian,,Solun
c_thessalonike,c_thessalonike_adj_russian,,Solun
c_thessalonike,sardinian,,Tessalonica
c_thessalonike,c_thessalonike_adj_sardinian,,Tessalonican
c_thessalonike,serbian,,Solun
c_thessalonike,c_thessalonike_adj_serbian,,Solunian
c_thessalonike,sicilian,,Tessalonica
c_thessalonike,c_thessalonike_adj_sicilian,,Tessalonican
c_thessalonike,southern_italian,,Tessalonica
c_thessalonike,c_thessalonike_adj_southern_italian,,Tessalonican
c_thessalonike,turkish,,Selânik
c_thessalonike,c_thessalonike_adj_turkish,,Selânikan
c_thessalonike,turkmen,,Selânik
c_thessalonike,c_thessalonike_adj_turkmen,,Selânikan
c_thessalonike,tuscan,,Tessalonica
c_thessalonike,c_thessalonike_adj_tuscan,,Tessalonican
c_thessalonike,venetian,,Tessalonica
c_thessalonike,c_thessalonike_adj_venetian,,Tessalonican
b_kastronthessalonika,b_kastronthessalonika,,Heptapyrgion
b_kastronthessalonika,b_kastronthessalonika_adj,,
b_kastronthessalonika,oghuz,,Beyaz Kule
b_kastronthessalonika,pecheneg,,Beyaz Kule
b_kastronthessalonika,turkish,,Beyaz Kule
b_kastronthessalonika,turkmen,,Beyaz Kule
b_hagiosdemetrios,b_hagiosdemetrios,,Agios Demétrios
b_hagiosdemetrios,b_hagiosdemetrios_adj,,
b_hagiosdemetrios,oghuz,,Kasimiye Camii
b_hagiosdemetrios,pecheneg,,Kasimiye Camii
b_hagiosdemetrios,turkish,,Kasimiye Camii
b_hagiosdemetrios,turkmen,,Kasimiye Camii
b_thessaloniki,b_thessaloniki,,Thessaloníke
b_thessaloniki,b_thessaloniki_adj,,
b_thessaloniki,bulgarian,,Solun
b_thessaloniki,central_italian,,Tessalonica
b_thessaloniki,corsican,,Tessalonica
b_thessaloniki,frankish,,Thessalonique
b_thessaloniki,italian,,Tessalonica
b_thessaloniki,ligurian,,Tessalonica
b_thessaloniki,neapolitan,,Tessalonica
b_thessaloniki,norman,,Thessalonique
b_thessaloniki,oghuz,,Selânik
b_thessaloniki,pecheneg,,Selânik
b_thessaloniki,sardinian,,Tessalonica
b_thessaloniki,serbian,,Solun
b_thessaloniki,sicilian,,Tessalonica
b_thessaloniki,southern_italian,,Tessalonica
b_thessaloniki,turkish,,Selânik
b_thessaloniki,turkmen,,Selânik
b_thessaloniki,tuscan,,Tessalonica
b_thessaloniki,venetian,,Tessalonica
b_thesedessa,b_thesedessa,,Vodená
b_thesedessa,b_thesedessa_adj,,
b_thesedessa,bulgarian,,Vodinu
b_thesedessa,oghuz,,Vodina
b_thesedessa,pecheneg,,Vodina
b_thesedessa,romanian,,Vudena
b_thesedessa,serbian,,Vodinu
b_thesedessa,turkish,,Vodina
b_thesedessa,turkmen,,Vodina
b_langadas,b_langadas,,Langades
b_langadas,b_langadas_adj,,
b_langadas,oghuz,,Langaza
b_langadas,pecheneg,,Langaza
b_langadas,turkish,,Langaza
b_langadas,turkmen,,Langaza
b_gynaikokastron,b_gynaikokastron,,Gynaikokastron
b_gynaikokastron,b_gynaikokastron_adj,,
c_veria,PROV1346,,Verroia
c_veria,c_veria,,
c_veria,c_veria_adj,,Verroian
c_veria,bulgarian,,Ber
c_veria,c_veria_adj_bulgarian,,Berian
c_veria,oghuz,,Karaferye
c_veria,c_veria_adj_oghuz,,Karaferyan
c_veria,pecheneg,,Karaferye
c_veria,serbian,,Ber
c_veria,c_veria_adj_serbian,,Berian
c_veria,turkish,,Karaferye
c_veria,c_veria_adj_turkish,,Karaferyan
c_veria,turkmen,,Karaferye
